Iteration,TimeElapsed(seconds)
377,1701874504.058920383
378,1701874504.061342239
379,1701874504.063775063
380,1701874504.066206694
381,1701874504.068608046
382,1701874504.071041107
383,1701874504.073488712
384,1701874504.075896025
385,1701874504.078309059
386,1701874504.080717325
387,1701874504.083140373
388,1701874504.085565329
389,1701874504.087951899
390,1701874504.090369225
391,1701874504.092811108
392,1701874504.095242023
393,1701874504.097670317
394,1701874504.100062132
395,1701874504.102471352
396,1701874504.104882002
397,1701874504.107301712
398,1701874504.109740973
399,1701874504.112139463
400,1701874504.114562511
401,1701874504.116981268
402,1701874504.119391203
403,1701874504.121857882
404,1701874504.124264956
405,1701874504.12669158
406,1701874504.129109144
407,1701874504.131513834
408,1701874504.133937836
409,1701874504.136343479
410,1701874504.138765812
411,1701874504.141191006
412,1701874504.143591881
413,1701874504.146059513
414,1701874504.148480415
415,1701874504.150889158
416,1701874504.1533041
417,1701874504.15573144
418,1701874504.158134222
419,1701874504.160529852
420,1701874504.162968159
421,1701874504.165362358
422,1701874504.167761087
423,1701874504.170207262
424,1701874504.172620535
425,1701874504.175023556
426,1701874504.177433491
427,1701874504.179870605
428,1701874504.182301998
429,1701874504.184769869
430,1701874504.187193394
431,1701874504.189620256
432,1701874504.192021132
433,1701874504.194432497
434,1701874504.196844816
435,1701874504.19925046
436,1701874504.201674461
437,1701874504.204078197
438,1701874504.206501722
439,1701874504.208901644
440,1701874504.211297989
441,1701874504.213712454
442,1701874504.216100693
443,1701874504.218517303
444,1701874504.220946789
445,1701874504.223352909
446,1701874504.225810289
447,1701874504.228256702
448,1701874504.230700731
449,1701874504.233106375
450,1701874504.235521317
451,1701874504.237971783
452,1701874504.240356207
453,1701874504.24277401
454,1701874504.245198011
455,1701874504.247593403
456,1701874504.250010014
457,1701874504.252403259
458,1701874504.254840136
459,1701874504.257249355
460,1701874504.259645939
461,1701874504.26210022
462,1701874504.264488459
463,1701874504.266934872
464,1701874504.269409418
465,1701874504.27180481
466,1701874504.274255514
467,1701874504.276665926
468,1701874504.279101133
469,1701874504.28151083
470,1701874504.283926249
471,1701874504.286373138
472,1701874504.288800716
473,1701874504.291216373
474,1701874504.293629169
475,1701874504.296047211
476,1701874504.298464298
477,1701874504.300866365
478,1701874504.303295135
479,1701874504.305717945
480,1701874504.308119297
481,1701874504.310545683
482,1701874504.312951565
483,1701874504.315371275
484,1701874504.317821503
485,1701874504.320206642
486,1701874504.322631121
487,1701874504.325031281
488,1701874504.32742691
489,1701874504.329849005
490,1701874504.33225584
491,1701874504.334679127
492,1701874504.33711338
493,1701874504.339529514
494,1701874504.341989517
495,1701874504.344390869
496,1701874504.346823692
497,1701874504.349247932
498,1701874504.351657867
499,1701874504.354100466
500,1701874504.356547594
501,1701874504.358973503
502,1701874504.361392021
503,1701874504.363778114
504,1701874504.366262436
505,1701874504.368665934
506,1701874504.371064425
507,1701874504.373506308
508,1701874504.375921488
509,1701874504.37836194
510,1701874504.380772352
511,1701874504.383213282
512,1701874504.385635376
513,1701874504.388039589
514,1701874504.39046526
