Time,AT_CPU_USAGE,AT_MEMORY_USAGE
183.0,13.0,14.4
183.5,12.6,14.4
184.0,12.9,14.4
184.5,13.0,14.4
185.0,12.6,14.5
185.5,12.6,14.5
186.0,12.9,14.5
186.5,12.6,14.5
187.0,12.6,14.5
187.5,12.1,14.5
188.0,12.5,14.5
188.5,13.0,14.5
189.0,12.5,14.5
189.5,13.4,14.5
190.0,12.9,14.5
190.5,13.0,14.5
191.0,12.1,14.5
191.5,12.1,14.5
192.0,12.9,14.5
192.5,12.5,14.5
193.0,12.6,14.5
193.5,13.0,14.5
194.0,13.0,14.5
194.5,13.4,14.5
195.0,12.6,14.5
195.5,12.9,14.5
196.0,12.6,14.5
196.5,12.5,14.5
197.0,12.6,14.5
197.5,13.0,14.5
198.0,12.5,14.5
198.5,12.6,14.5
199.0,12.9,14.5
199.5,12.9,14.5
200.0,12.9,14.5
200.5,12.5,14.5
201.0,12.5,14.5
201.5,12.5,14.5
202.0,13.0,14.5
202.5,12.9,14.5
203.0,12.6,14.5
203.5,12.5,14.5
204.0,13.1,14.5
204.5,13.4,14.5
205.0,12.5,14.5
205.5,12.5,14.5
206.0,12.6,14.5
206.5,13.0,14.5
207.0,13.4,14.5
207.5,13.4,14.5
208.0,12.5,14.5
208.5,13.0,14.5
209.0,12.6,14.5
209.5,13.4,14.5
210.0,12.6,14.6
210.5,12.5,14.6
211.0,12.6,14.6
211.5,12.1,14.6
212.0,12.9,14.6
212.5,13.4,14.6
213.0,12.6,14.6
213.5,12.6,14.6
214.0,12.5,14.6
214.5,12.5,14.6
215.0,12.9,14.6
215.5,12.1,14.6
216.0,13.0,14.6
216.5,13.0,14.6
217.0,13.0,14.6
217.5,13.0,14.6
218.0,12.5,14.6
218.5,12.9,14.6
219.0,12.6,14.6
219.5,12.5,14.6
220.0,12.9,14.6
220.5,13.0,14.6
221.0,13.0,14.6
221.5,13.4,14.6
222.0,13.0,14.6
222.5,13.0,14.6
223.0,13.4,14.6
223.5,12.9,14.5
224.0,12.9,14.5
224.5,12.5,14.5
225.0,13.0,14.5
225.5,12.6,14.5
226.0,12.9,14.5
226.5,12.6,14.5
227.0,12.5,14.5
227.5,12.9,14.5
228.0,12.5,14.5
228.5,12.9,14.5
229.0,13.0,14.5
229.5,12.5,14.5
230.0,12.5,14.5
230.5,12.1,14.5
231.0,12.9,14.5
231.5,12.6,14.5
232.0,12.6,14.5
232.5,12.9,14.5
233.0,13.0,14.5
233.5,12.9,14.5
234.0,12.5,14.5
234.5,12.9,14.5
235.0,12.5,14.5
235.5,12.1,14.5
236.0,12.6,14.5
236.5,12.9,14.5
237.0,12.5,14.5
237.5,13.0,14.5
238.0,12.5,14.5
238.5,12.9,14.5
239.0,12.5,14.5
239.5,12.9,14.5
240.0,13.0,14.5
240.5,12.5,14.5
241.0,13.0,14.5
241.5,12.5,14.5
242.0,12.6,14.5
242.5,12.6,14.5
243.0,12.6,14.5
243.5,12.6,14.5
244.0,13.4,14.5
244.5,12.5,14.5
245.0,13.0,14.5
245.5,12.5,14.5
246.0,12.1,14.5
246.5,12.9,14.5
247.0,13.4,14.5
247.5,12.6,14.5
248.0,12.6,14.5
248.5,13.0,14.5
249.0,12.5,14.5
249.5,12.6,14.5
250.0,13.4,14.5
250.5,13.0,14.5
251.0,12.9,14.5
251.5,13.0,14.5
252.0,12.6,14.5
252.5,13.0,14.5
253.0,24.8,14.5
253.5,13.0,14.5
254.0,12.9,14.5
254.5,13.0,14.5
255.0,12.6,14.5
255.5,12.5,14.5
256.0,12.5,14.5
256.5,12.5,14.5
257.0,13.0,14.5
257.5,12.6,14.5
258.0,12.9,14.5
258.5,12.5,14.5
259.0,12.9,14.5
259.5,13.4,14.5
260.0,12.5,14.5
260.5,12.6,14.5
261.0,12.6,14.5
261.5,12.6,14.5
262.0,12.5,14.5
262.5,13.1,14.5
263.0,12.1,14.5
263.5,12.5,14.5
264.0,12.9,14.5
264.5,13.0,14.5
265.0,12.5,14.5
265.5,12.9,14.5
266.0,12.5,14.5
266.5,13.0,14.5
267.0,12.5,14.5
267.5,12.9,14.5
268.0,12.1,14.5
268.5,12.6,14.5
269.0,12.5,14.5
269.5,12.6,14.5
270.0,12.6,14.5
270.5,12.5,14.5
271.0,12.5,14.5
271.5,12.9,14.5
272.0,12.9,14.5
272.5,13.0,14.5
273.0,12.1,14.5
273.5,12.6,14.5
274.0,12.5,14.5
274.5,12.6,14.5
275.0,12.5,14.5
275.5,12.1,14.5
276.0,12.9,14.5
276.5,12.6,14.5
277.0,12.9,14.5
277.5,12.5,14.5
278.0,12.1,14.5
278.5,12.1,14.5
279.0,12.9,14.5
279.5,12.1,14.5
280.0,12.5,14.5
280.5,12.1,14.5
281.0,24.8,14.5
281.5,12.5,14.5
282.0,12.5,14.5
282.5,12.6,14.5
283.0,12.5,14.5
283.5,13.0,14.5
284.0,12.5,14.5
284.5,12.6,14.5
285.0,12.9,14.5
285.5,13.4,14.5
286.0,12.5,14.5
286.5,12.6,14.5
287.0,13.0,14.5
287.5,12.9,14.5
288.0,12.6,14.5
288.5,13.4,14.5
289.0,12.9,14.5
289.5,12.9,14.5
290.0,12.6,14.5
290.5,13.4,14.5
291.0,13.4,14.5
291.5,12.6,14.5
292.0,12.5,14.5
292.5,12.1,14.5
293.0,12.5,14.5
293.5,13.0,14.5
294.0,12.9,14.5
294.5,14.0,14.5
295.0,12.5,14.5
295.5,12.1,14.5
296.0,12.9,14.5
296.5,12.5,14.5
297.0,12.6,14.5
297.5,12.1,14.5
298.0,12.5,14.5
298.5,12.9,14.5
299.0,13.4,14.5
299.5,12.9,14.5
300.0,12.6,14.5
